カテゴリ,値,エラー内容
読込エラー,C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\~$営業部_GOG株式会社_2025年1月.xlsx: [Errno 13] Permission denied: 'C:\\Users\\8963948\\Desktop\\帳簿アップロード\\processed\\営業部\\~$営業部_GOG株式会社_2025年1月.xlsx',
読込エラー,C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\~$営業部_GOG株式会社_2025年1月.xlsx: [Errno 13] Permission denied: 'C:\\Users\\8963948\\Desktop\\帳簿アップロード\\processed\\営業部\\~$営業部_GOG株式会社_2025年1月.xlsx',
読込エラー,"C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually.",
読込エラー,"C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually.",
読込エラー,"C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually.",
読込エラー,"C:\Users\8963948\Desktop\帳簿アップロード\processed\errors\~$営業部_GOG株式会社_2025年1月.xlsx: Excel file format cannot be determined, you must specify an engine manually.",
読込エラー,営業部_株式会社Forneeds_2024年10月_着払・転送: 空のシートです,
ChatGPT APIエラー,サーバーエラー: The server is overloaded or not ready yet.,
名寄せ失敗,店舗名: 候補=御菓子御読谷本店花笠 → 正式名称取得失敗,
ChatGPT APIエラー,サーバーエラー: The server is overloaded or not ready yet.,
名寄せ失敗,店舗名: 候補=くら寿司瑞江駅前店 → 正式名称取得失敗,
列検出エラー,C:\Users\8963948\Desktop\帳簿アップロード\営業部_株式会社Forneeds_2024年10月.xlsx: 金額列が見つかりません,
読込エラー,営業部_株式会社Forneeds_2024年10月_着払・転送: 空のシートです,
列検出エラー,C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\営業部_株式会社Forneeds_2024年10月.xlsx: 金額列が見つかりません,
