カテゴリ,値,エラー内容
読込エラー,営業部_株式会社Forneeds_2024年10月_着払・転送: 空のシートです,
列検出エラー,C:\Users\8963948\Desktop\帳簿アップロード\営業部_株式会社Forneeds_2024年10月.xlsx: 金額列が見つかりません,
読込エラー,営業部_株式会社Forneeds_2024年10月_着払・転送: 空のシートです,
列検出エラー,C:\Users\8963948\Desktop\帳簿アップロード\processed\営業部\営業部_株式会社Forneeds_2024年10月.xlsx: 金額列が見つかりません,
